t,theta_0,x_0,y_0
225.09,70.45556105608527,1.4076587673461274,6.004549592164254
225.1,70.45393975692777,1.41735946764336,6.002121343447835
225.11,70.45231842046728,1.4270562174312955,5.99967736684508
225.12,70.45069704670124,1.4367489911182727,5.9972176684211895
225.13,70.44907563562705,1.4464377631214034,5.994742254283109
225.14000000000001,70.44745418724217,1.4561225078663858,5.992251130579587
225.15,70.445832701544,1.4658031997879122,5.98974430350107
225.16,70.44421117852998,1.4754798133294829,5.987221779279758
225.17000000000002,70.44258961819753,1.4851523229435586,5.984683564189575
225.18,70.44096802054406,1.4948207030917149,5.98212966454613
225.19,70.439346385567,1.5044849282445392,5.979560086706753
225.20000000000002,70.43772471326379,1.5141449728817848,5.976974837070458
225.21,70.43610300363183,1.5238008114925237,5.974373922077912
225.22,70.43448125666855,1.5334524185750449,5.971757348211466
225.23000000000002,70.43285947237136,1.5430997686370924,5.969125121995096
225.24,70.43123765073771,1.5527428361956792,5.966477249994462
225.25,70.429615791765,1.5623815957775784,5.9638137388167785
225.26,70.42799389545065,1.572016021918969,5.961134595110918
225.27,70.4263719617921,1.5816460891656718,5.958439825567353
225.28,70.42474999078675,1.5912717720733038,5.955729436918118
225.29,70.42312798243204,1.6008930452071766,5.953003435936846
225.3,70.42150593672537,1.6105098831425322,5.950261829438705
225.31,70.41988385366416,1.6201222604645285,5.947504624280409
225.32,70.41826173324584,1.6297301517682212,5.944731827360234
225.33,70.41663957546783,1.6393335316588022,5.941943445617947
225.34,70.41501738032754,1.648932374751498,5.939139486034851
225.35,70.4133951478224,1.6585266556718066,5.936319955633717
225.36,70.41177287794982,1.66811634905548,5.933484861478793
225.37,70.41015057070722,1.6777014295485109,5.93063421067582
225.38,70.40852822609202,1.6872818718073652,5.927768010371967
225.39000000000001,70.40690584410163,1.6968576504989694,5.924886267755838
225.4,70.40528342473347,1.7064287403007756,5.921988990057466
225.41,70.40366096798495,1.7159951159008309,5.919076184548285
225.42000000000002,70.4020384738535,1.7255567519977615,5.916147858541158
225.43,70.40041594233652,1.735113623301007,5.913204019390299
225.44,70.39879337343145,1.7446657045308067,5.910244674491288
225.45000000000002,70.39717076713568,1.7542129704182647,5.907269831281059
225.46,70.39554812344664,1.763755395705336,5.904279497237908
225.47,70.39392544236175,1.7732929551451448,5.9012736798813945
225.48000000000002,70.3923027238784,1.7828256235018005,5.8982523867724215
225.49,70.39067996799403,1.792353375550467,5.895215625513199
225.5,70.38905717470604,1.80187618607768,5.892163403747167
225.51,70.38743434401185,1.8113940298810807,5.88909572915908
225.52,70.38581147590887,1.820906881769817,5.886012609474879
225.53,70.38418857039451,1.8304147165642806,5.882914052461792
225.54,70.38256562746619,1.8399175090965019,5.879800065928207
225.55,70.38094264712132,1.849415234209975,5.8766706577237375
225.56,70.37931962935731,1.8589078667597192,5.873525835739204
225.57,70.37769657417158,1.8683953816126002,5.8703656079065425
225.58,70.37607348156153,1.877877753647147,5.867189982198864
225.59,70.37445035152457,1.887354957753784,5.863998966630384
225.6,70.37282718405812,1.8968269688346522,5.860792569256496
225.61,70.37120397915959,1.9062937618040066,5.857570798173633
225.62,70.36958073682638,1.9157553115880361,5.854333661519345
225.63,70.36795745705591,1.9252115931250138,5.851081167472245
225.64000000000001,70.36633413984559,1.934662581365363,5.847813324252001
225.65,70.36471078519283,1.9441082512718095,5.844530140119287
225.66,70.36308739309503,1.953548577819282,5.841231623375817
225.67000000000002,70.36146396354961,1.9629835359950631,5.837917782364309
225.68,70.35984049655397,1.9724131007989385,5.834588625468435
225.69,70.35821699210553,1.9818372472431,5.831244161112859
225.70000000000002,70.35659345020169,1.991255950352295,5.827884397763193
225.71,70.35496987083985,2.0006691851639764,5.824509343925951
225.72,70.35334625401744,2.0100769267282046,5.821119008148585
225.73000000000002,70.35172259973184,2.019479150107879,5.817713399019417
225.74,70.35009890798048,2.028875830378644,5.814292525167672
225.75,70.34847517876075,2.038266942629115,5.810856395263406
225.76,70.34685141207007,2.0476524619607863,5.8074050180175405
225.77,70.34522760790583,2.057032363488261,5.803938402181795
225.78,70.34360376626543,2.0664066223392337,5.8004565565486885
225.79,70.3419798871463,2.0757752136544787,5.796959489951557
225.8,70.34035597054583,2.0851381125879986,5.793447211264504
225.81,70.33873201646144,2.0944952943071717,5.789919729402349
225.82,70.33710802489051,2.1038467339927385,5.786377053320639
225.83,70.33548399583046,2.1131924068388686,5.782819192015637
225.84,70.33385992927869,2.122532288053144,5.779246154524322
225.85,70.3322358252326,2.1318663528567945,5.775657949924318
225.86,70.3306116836896,2.1411945764846765,5.772054587333897
225.87,70.32898750464709,2.1505169341852626,5.7684360759120015
225.88,70.32736328810248,2.159833401220871,5.7648024248581535
225.89000000000001,70.32573903405316,2.1691439528676497,5.76115364341247
225.9,70.32411474249653,2.1784485644156453,5.7574897408556405
225.91,70.32249041343,2.1877472111688667,5.753810726508913
225.92000000000002,70.32086604685098,2.197039868445274,5.750116609734101
225.93,70.31924164275685,2.2063265115770867,5.7464073999334655
225.94,70.31761720114503,2.215607115910526,5.742683106549831
225.95000000000002,70.31599272201291,2.224881656806127,5.738943739066462
225.96,70.3143682053579,2.2341501096387217,5.735189307007081
225.97,70.31274365117739,2.2434124497975056,5.7314198199358355
225.98000000000002,70.31111905946878,2.252668652686108,5.727635287457297
225.99,70.30949443022946,2.2619186937227345,5.723835719216387
226.0,70.30786976345685,2.271162548339994,5.72002112489847
226.01,70.30624505914834,2.280400191985209,5.716191514229227
226.02,70.30462031730133,2.2896316001203965,5.71234689697467
226.03,70.3029955379132,2.2988567482224203,5.708487282941082
226.04,70.30137072098138,2.308075611782813,5.704612681975105
226.05,70.29974586650324,2.3172881663081637,5.7007231039635755
226.06,70.2981209744762,2.3264943873198662,5.696818558833648
226.07,70.29649604489765,2.335694250354504,5.692899056552625
226.08,70.29487107776497,2.3448877309637566,5.688964607128017
226.09,70.29324607307557,2.354074804714304,5.685015220607576
226.1,70.29162103082683,2.3632554471882172,5.681050907079147
226.11,70.28999595101618,2.3724296339827013,5.6770716766707805
226.12,70.28837083364098,2.3815973407105626,5.6730775395505315
226.13,70.28674567869865,2.3907585429997953,5.669068505926658
226.14000000000001,70.28512048618657,2.399913216494047,5.665044586047411
226.15,70.28349525610214,2.409061336852444,5.6610057902011235
226.16,70.28186998844276,2.4182028797497397,5.6569521287161555
226.17000000000002,70.28024468320582,2.4273378208764593,5.6528836119608314
226.18,70.2786193403887,2.4364661359388857,5.648800250343455
226.19,70.27699395998881,2.4455878006589664,5.644702054312355
226.20000000000002,70.27536854200353,2.4547027907747783,5.6405890343556875
226.21,70.27374308643027,2.463811082040114,5.636461201001622
226.22,70.27211759326642,2.4729126502249494,5.632318564818149
226.23000000000002,70.27049206250935,2.482007471115347,5.628161136413116
226.24,70.26886649415647,2.491095520513444,5.623988926434249
226.25,70.26724088820517,2.5001767742376755,5.619801945569052
226.26,70.26561524465284,2.5092512081226843,5.615600204544861
226.27,70.26398956349686,2.5183187980195427,5.611383714128741
226.28,70.26236384473464,2.527379519795739,5.607152485127503
226.29,70.26073808836355,2.536433349335167,5.602906528387716
226.3,70.259112294381,2.545480262538347,5.598645854795607
226.31,70.25748646278436,2.554520235322412,5.594370475277079
226.32,70.25586059357103,2.5635532436210964,5.5900804007977145
226.33,70.2542346867384,2.5725792633849593,5.58577564236269
226.34,70.25260874228385,2.5815982705813703,5.581456211016776
226.35,70.25098276020479,2.590610241194495,5.577122117844357
226.36,70.2493567404986,2.5996151512255206,5.57277337396933
226.37,70.24773068316264,2.6086129766927204,5.568409990555078
226.38,70.24610458819433,2.617603693631282,5.564031978804562
226.39000000000001,70.24447845559105,2.6265872780935307,5.559639349960216
226.4,70.24285228535018,2.6355637061491524,5.55523211530385
226.41,70.24122607746911,2.6445329538850237,5.550810286156734
226.42000000000002,70.23959983194523,2.653494997405275,5.5463738738795785
226.43,70.23797354877591,2.662449812831594,5.54192288987239
226.44,70.23634722795856,2.6713973763029752,5.537457345574597
226.45000000000002,70.23472086949056,2.68033766397602,5.532977252464918
226.46,70.23309447336928,2.6892706520250043,5.528482622061325
226.47,70.23146803959212,2.698196316641705,5.523973465921138
226.48000000000002,70.22984156815644,2.707114634035782,5.519449795640846
226.49,70.22821505905966,2.716025580434526,5.5149116228562365
226.5,70.22658851229914,2.724929132083242,5.510358959242206
226.51,70.22496192787227,2.733825265245073,5.505791816512858
226.52,70.22333530577643,2.742713956201148,5.501210206421437
226.53,70.221708646009,2.751595181250646,5.496614140760299
226.54,70.22008194856738,2.7604689167108587,5.492003631360887
226.55,70.21845521344895,2.769335138917258,5.4873786900937045
226.56,70.21682844065107,2.7781938242236364,5.482739328868243
226.57,70.21520163017114,2.7870449490020164,5.478085559633046
226.58,70.21357478200653,2.795888489642796,5.47341739437563
226.59,70.21194789615464,2.804724422554809,5.468734845122467
226.6,70.21032097261283,2.813552724165469,5.464037923938909
226.61,70.2086940113785,2.82237337092068,5.459326642929247
226.62,70.207067012449,2.8311863392850545,5.454601014236596
226.63,70.20543997582175,2.8399916057417456,5.449861050043002
226.64000000000001,70.20381290149409,2.848789146792898,5.445106762569194
226.65,70.20218578946343,2.857578938959253,5.440338164074814
226.66,70.20055863972713,2.8663609587805916,5.435555266858178
226.67000000000002,70.19893145228258,2.8751351828156495,5.430758083256331
226.68,70.19730422712715,2.8839015876421037,5.425946625645063
226.69,70.19567696425823,2.8926601498567126,5.421120906438832
226.70000000000002,70.19404966367318,2.9014108460754575,5.416280938090705
226.71,70.1924223253694,2.910153652933454,5.411426733092405
226.72,70.19079494934427,2.9188885470851695,5.406558303974199
226.73000000000002,70.18916753559513,2.9276155052044075,5.401675663304914
226.74,70.18754008411939,2.9363345039843,5.396778823691949
226.75,70.18591259491441,2.945045520137521,5.3918677977811615
