s,x,y
10.9,0.3215806083875436,-7.082945676351732
10.950000000000001,0.27161892536370646,-7.084902773545463
11.0,0.2216316087607971,-7.085895555876832
11.05,0.1716365085913527,-7.086595526624284
11.100000000000001,0.12164140842190835,-7.087295497371734
11.15,0.07164594802556724,-7.087742470636735
11.200000000000001,0.02164905728379285,-7.087184872075804
11.25,-0.028347833457979768,-7.086627273514873
11.3,-0.07834472419975418,-7.086069674953942
11.350000000000001,-0.12832263294878865,-7.084712251802541
11.4,-0.17828968655198846,-7.082897436601251
11.450000000000001,-0.2282567401551901,-7.08108262139996
11.5,-0.27821936352178983,-7.0791772440267104
11.55,-0.32812497114537476,-7.0761063601603205
11.600000000000001,-0.3780305787689597,-7.07303547629393
11.65,-0.42793618639254283,-7.06996459242754
11.700000000000001,-0.47779445647147667,-7.066255460526126
11.75,-0.52760704813981,-7.0619304505511336
11.8,-0.5774196398081451,-7.057605440576141
11.850000000000001,-0.6272322314764802,-7.053280430601148
11.9,-0.6769269404040701,-7.047770800467361
11.950000000000001,-0.7266150049779083,-7.042194400292862
12.0,-0.7763030695517447,-7.036618000118364
12.05,-0.825931047001114,-7.03056083091746
12.100000000000001,-0.8754631521113565,-7.023736568074635
12.15,-0.9249952572215971,-7.01691230523181
12.200000000000001,-0.9745273623318397,-7.010088042388986
12.25,-1.0239049860462472,-7.002238089854163
12.3,-1.0732497979778834,-6.994170281264991
12.350000000000001,-1.1225946099095194,-6.986102472675819
12.4,-1.1718814618071751,-6.977706163470608
12.450000000000001,-1.221007765320822,-6.96839991271721
12.5,-1.2701340688344673,-6.959093661963813
12.55,-1.3192603723481142,-6.949787411210415
12.600000000000001,-1.3682103184135683,-6.939610235112643
12.65,-1.417087036492068,-6.929071429208996
12.700000000000001,-1.4659637545705695,-6.918532623305349
12.75,-1.514798717898652,-6.907811336719844
12.8,-1.5633949314062476,-6.896046642387892
12.850000000000001,-1.611991144913843,-6.884281948055941
12.9,-1.660587358421437,-6.87251725372399
12.950000000000001,-1.7089993091211453,-6.8600312195866255
13.0,-1.7572842763627694,-6.847048079039162
13.05,-1.805569243604395,-6.834064938491697
13.100000000000001,-1.8538418782384232,-6.821038129947712
13.15,-1.9017850544067685,-6.806844756180672
13.200000000000001,-1.9497282305751156,-6.7926513824136325
13.25,-1.9976714067434609,-6.778458008646592
13.3,-2.0454355731109435,-6.76368676606397
13.350000000000001,-2.0930066296089773,-6.748292137661149
13.4,-2.1405776861070094,-6.732897509258329
13.450000000000001,-2.188148742605043,-6.717502880855508
13.5,-2.235346974962398,-6.701003797538238
13.55,-2.2825158185891077,-6.684417652991686
13.600000000000001,-2.3296846622158167,-6.6678315084451345
13.65,-2.376692041094198,-6.6508039959926055
13.700000000000001,-2.4234288330814437,-6.633036827542314
13.75,-2.4701656250686876,-6.615269659092023
13.8,-2.516902417055933,-6.597502490641732
13.850000000000001,-2.5632600339158085,-6.578774453956748
13.9,-2.609535208804223,-6.559837500953517
13.950000000000001,-2.6558103836926383,-6.540900547950284
14.0,-2.701953017195083,-6.521650985329372
14.05,-2.7477373015370916,-6.501556227125051
14.100000000000001,-2.7935215858791005,-6.48146146892073
14.15,-2.8393058702211076,-6.461366710716409
14.200000000000001,-2.88471611813387,-6.440448053690625
14.25,-2.9299805490119795,-6.419208202060241
14.3,-2.9752449798900904,-6.397968350429856
14.350000000000001,-3.0204162166117214,-6.376536217591687
14.4,-3.065132159960393,-6.354164708692235
14.450000000000001,-3.109848103309066,-6.331793199792781
14.5,-3.154564046657738,-6.309421690893329
14.55,-3.198921683378318,-6.286355960177562
14.600000000000001,-3.2430608520978046,-6.262866946048553
14.65,-3.287200020817289,-6.239377931919545
14.700000000000001,-3.3312947781278366,-6.215807934943611
14.75,-3.374829249978537,-6.191216274554764
14.8,-3.4183637218292398,-6.166624614165915
14.850000000000001,-3.461898193679942,-6.142032953777067
14.9,-3.505099749079554,-6.116868865165142
14.950000000000001,-3.548001984345583,-6.091190115016851
15.0,-3.5909042196116103,-6.06551136486856
15.05,-3.6338064548776394,-6.039832614720269
15.100000000000001,-3.6760621052495117,-6.0131037926920206
15.15,-3.7183049641602666,-5.98635419697459
15.200000000000001,-3.7605478230710228,-5.959604601257158
15.25,-3.8024918599057482,-5.932395981781328
15.3,-3.8440486198045063,-5.904592462099154
15.350000000000001,-3.885605379703265,-5.87678894241698
15.4,-3.9271621396020215,-5.848985422734808
15.450000000000001,-3.968083890747889,-5.820258133235812
15.5,-4.008928262996524,-5.791418277903047
15.55,-4.049772635245161,-5.762578422570281
15.600000000000001,-4.090360009070718,-5.733384139050482
15.65,-4.130466155679884,-5.703526191964926
15.700000000000001,-4.170572302289052,-5.6736682448793685
15.75,-4.21067844889822,-5.643810297793811
